time, chassis::zChassis[REAL], wheel::zWheel[REAL], ground::zGround[REAL]
2.17, 1.098114, 0.630523, 0.100000
2.18, 1.099706, 0.630834, 0.100000
2.19, 1.101380, 0.631234, 0.100000
2.2, 1.103132, 0.631607, 0.100000
2.21, 1.104955, 0.631863, 0.100000
2.22, 1.106838, 0.631984, 0.100000
2.23, 1.108770, 0.632026, 0.100000
2.24, 1.110741, 0.632082, 0.100000
2.25, 1.112743, 0.632229, 0.100000
2.26, 1.114772, 0.632489, 0.100000
2.27, 1.116821, 0.632821, 0.100000
2.28, 1.118886, 0.633148, 0.100000
2.29, 1.120960, 0.633400, 0.100000
2.3, 1.123034, 0.633553, 0.100000
2.31, 1.125098, 0.633635, 0.100000
2.32, 1.127145, 0.633707, 0.100000
2.33, 1.129167, 0.633827, 0.100000
2.34, 1.131159, 0.634019, 0.100000
2.35, 1.133115, 0.634264, 0.100000
2.36, 1.135033, 0.634513, 0.100000
2.37, 1.136906, 0.634715, 0.100000
2.38, 1.138730, 0.634845, 0.100000
2.39, 1.140496, 0.634914, 0.100000
2.4, 1.142199, 0.634962, 0.100000
2.41, 1.143834, 0.635030, 0.100000
2.42, 1.145396, 0.635141, 0.100000
2.43, 1.146885, 0.635289, 0.100000
2.44, 1.148296, 0.635443, 0.100000
2.45, 1.149628, 0.635568, 0.100000
2.46, 1.150877, 0.635642, 0.100000
2.47, 1.152039, 0.635667, 0.100000
2.48, 1.153113, 0.635666, 0.100000
2.49, 1.154095, 0.635670, 0.100000
2.5, 1.154984, 0.635698, 0.100000
2.51, 1.155780, 0.635751, 0.100000
2.52, 1.156482, 0.635810, 0.100000
2.53, 1.157092, 0.635852, 0.100000
2.54, 1.157608, 0.635859, 0.100000
2.55, 1.158030, 0.635828, 0.100000
2.56, 1.158358, 0.635774, 0.100000
2.57, 1.158593, 0.635716, 0.100000
2.58, 1.158736, 0.635671, 0.100000
2.59, 1.158788, 0.635643, 0.100000
2.6, 1.158752, 0.635622, 0.100000
2.61, 1.158631, 0.635592, 0.100000
2.62, 1.158426, 0.635539, 0.100000
2.63, 1.158139, 0.635460, 0.100000
2.64, 1.157773, 0.635361, 0.100000
2.65, 1.157331, 0.635257, 0.100000
2.66, 1.156815, 0.635161, 0.100000
2.67, 1.156229, 0.635076, 0.100000
2.68, 1.155577, 0.634999, 0.100000
2.69, 1.154862, 0.634920, 0.100000
2.7, 1.154089, 0.634827, 0.100000
2.71, 1.153261, 0.634718, 0.100000
2.72, 1.152383, 0.634595, 0.100000
2.73, 1.151457, 0.634468, 0.100000
2.74, 1.150487, 0.634346, 0.100000
2.75, 1.149479, 0.634234, 0.100000
2.76, 1.148436, 0.634131, 0.100000
2.77, 1.147364, 0.634030, 0.100000
2.78, 1.146265, 0.633923, 0.100000
2.79, 1.145146, 0.633807, 0.100000
2.8, 1.144009, 0.633684, 0.100000
2.81, 1.142859, 0.633560, 0.100000
2.82, 1.141700, 0.633440, 0.100000
2.83, 1.140536, 0.633329, 0.100000
2.84, 1.139372, 0.633227, 0.100000
2.85, 1.138210, 0.633131, 0.100000
2.86, 1.137057, 0.633035, 0.100000
2.87, 1.135914, 0.632936, 0.100000
2.88, 1.134786, 0.632834, 0.100000
2.89, 1.133676, 0.632733, 0.100000
2.9, 1.132588, 0.632638, 0.100000
2.91, 1.131524, 0.632551, 0.100000
2.92, 1.130489, 0.632473, 0.100000
2.93, 1.129484, 0.632403, 0.100000
2.94, 1.128513, 0.632336, 0.100000
2.95, 1.127578, 0.632270, 0.100000
2.96, 1.126683, 0.632205, 0.100000
2.97, 1.125828, 0.632142, 0.100000
2.98, 1.125016, 0.632085, 0.100000
2.99, 1.124249, 0.632036, 0.100000
3, 1.123528, 0.631995, 0.100000
3.01, 1.122856, 0.631962, 0.100000
3.02, 1.122233, 0.631935, 0.100000
3.03, 1.121660, 0.631910, 0.100000
3.04, 1.121139, 0.631888, 0.100000
3.05, 1.120670, 0.631868, 0.100000
3.06, 1.120253, 0.631854, 0.100000
3.07, 1.119889, 0.631846, 0.100000
3.08, 1.119578, 0.631846, 0.100000
3.09, 1.119320, 0.631852, 0.100000
3.1, 1.119115, 0.631864, 0.100000
3.11, 1.118962, 0.631879, 0.100000
3.12, 1.118861, 0.631897, 0.100000
3.13, 1.118810, 0.631917, 0.100000
3.14, 1.118810, 0.631941, 0.100000
3.15, 1.118859, 0.631969, 0.100000
3.16, 1.118956, 0.632004, 0.100000
3.17, 1.119099, 0.632043, 0.100000
3.18, 1.119287, 0.632086, 0.100000
3.19, 1.119519, 0.632132, 0.100000
3.2, 1.119792, 0.632179, 0.100000
3.21, 1.120106, 0.632228, 0.100000
3.22, 1.120457, 0.632279, 0.100000
3.23, 1.120845, 0.632332, 0.100000
3.24, 1.121266, 0.632389, 0.100000
3.25, 1.121720, 0.632449, 0.100000
3.26, 1.122203, 0.632510, 0.100000
3.27, 1.122713, 0.632573, 0.100000
3.28, 1.123248, 0.632636, 0.100000
3.29, 1.123806, 0.632699, 0.100000
3.3, 1.124385, 0.632762, 0.100000
3.31, 1.124981, 0.632826, 0.100000
3.32, 1.125593, 0.632891, 0.100000
3.33, 1.126218, 0.632956, 0.100000
3.34, 1.126853, 0.633021, 0.100000
3.35, 1.127497, 0.633086, 0.100000
3.36, 1.128147, 0.633150, 0.100000
3.37, 1.128800, 0.633212, 0.100000
3.38, 1.129455, 0.633272, 0.100000
3.39, 1.130108, 0.633332, 0.100000
3.4, 1.130759, 0.633390, 0.100000
3.41, 1.131404, 0.633447, 0.100000
3.42, 1.132042, 0.633503, 0.100000
3.43, 1.132670, 0.633556, 0.100000
3.44, 1.133287, 0.633608, 0.100000
3.45, 1.133890, 0.633657, 0.100000
3.46, 1.134479, 0.633703, 0.100000
3.47, 1.135051, 0.633747, 0.100000
3.48, 1.135604, 0.633788, 0.100000
3.49, 1.136138, 0.633827, 0.100000
3.5, 1.136651, 0.633864, 0.100000
3.51, 1.137141, 0.633898, 0.100000
3.52, 1.137607, 0.633929, 0.100000
3.53, 1.138048, 0.633956, 0.100000
3.54, 1.138464, 0.633981, 0.100000
3.55, 1.138853, 0.634003, 0.100000
3.56, 1.139214, 0.634021, 0.100000
3.57, 1.139548, 0.634038, 0.100000
3.58, 1.139853, 0.634051, 0.100000
3.59, 1.140128, 0.634061, 0.100000
3.6, 1.140374, 0.634069, 0.100000
3.61, 1.140591, 0.634073, 0.100000
3.62, 1.140778, 0.634075, 0.100000
3.63, 1.140935, 0.634074, 0.100000
3.64, 1.141062, 0.634070, 0.100000
